,custo_bic,custo_aic,custo_obts,countrycode
95,17.562187685664064,17.562187685664064,8.564501413764445,LAO
96,inf,inf,32.31581215384444,LBN
97,inf,inf,39.94006612342478,LBR
98,51.21050236395479,51.21050236395479,23.133300050178246,LCA
99,19.654048441110273,,37.32250270501908,LKA
100,26.354377937693595,26.354377937693595,22.13811225795324,LSO
101,70.85387746692429,70.85387746692429,14.533559426803064,LTU
102,4.333642596867948,4.333642596867948,7.74654311972429,LUX
103,inf,inf,33.085736387251885,LVA
104,7.843197882443653,7.843197882443653,3.6181339828868446,MAC
105,17.04863067225324,17.346882855463306,26.371002922120184,MAR
106,inf,inf,31.94437977861621,MDA
107,9.17619572504722,,-8.795238313969092,MDG
108,95.04907066725217,95.04907066725217,10.733553408174226,MDV
109,8.238063784459214,8.337761831484624,-58.97485521886349,MEX
110,21.537422617180326,21.537422617180326,11.318854095556937,MKD
111,62.986040062302195,62.986040062302195,28.04886824131713,MLI
112,10.31739964457623,10.80348290196862,4.777372379334997,MLT
113,15.137233762820014,20.51482841970671,13.83897523237203,MMR
114,,,33.63872937083915,MNE
115,353377984845.7623,353377984845.7623,18.663980782046334,MNG
116,14.984566083308248,14.984566083308248,-64.31938669279803,MOZ
117,inf,inf,30.74371986876659,MRT
118,inf,inf,36.05761930132362,MSR
119,58.09420886984324,74.5615564637503,26.729040230174324,MUS
120,47.887908432243755,53.51923302345594,77.40634794277572,MWI
121,17.438086921990383,17.438086921990383,11.136125815760234,MYS
122,39.940637952025185,40.98689508625988,49.31802907375148,NAM
123,3.712946944155439e+17,3.712946944155439e+17,69.1960311380304,NER
124,inf,inf,27.886718848265563,NGA
125,127.72911803972109,127.72911803972109,63.71431590977819,NIC
126,5.9776524290919175,5.9776524290919175,8.251069672492237,NLD
127,4.059216397513632,4.08273100710308,5.211102872259529,NOR
128,10.357646005307819,16.05435947596996,25.334674324533957,NPL
129,10.406779648682818,10.406779648682818,53.18608122738524,NZL
130,118.90012979054205,129.20495776547875,17.73828783724899,OMN
131,12.423428943085035,13.383451382857746,43.63047049469799,PAK
132,30.11507784056098,35.01471029258507,16.65715200684938,PAN
133,15.316947268238025,15.316947268238025,21.616254960788922,PER
134,5.685461161226035,5.953966326987148,9.975563844038962,PHL
135,13.863747888879807,22.682576848304592,8.146208259837698,POL
136,11.444521625672333,,8.82641657658142,PRT
137,13.752481050264521,15.168820769892388,14.449631761736933,PRY
138,32.689697763205096,37.12088131664131,20.90067299212754,PSE
139,33114898.044479698,33114898.044479698,1546.684309444074,QAT
140,20.30020007907205,24.086872481219366,8.186175266412672,ROU
141,39.595582604633364,39.595582604633364,11.15966838479159,RUS
142,57.978613779959346,57.978613779959346,45.78532915099819,RWA
143,6.771485081172927e+54,,23.573232769048545,SAU
144,60.87459279231056,67.75557568665052,34.368583302121266,SDN
145,10.04604279741943,10.04604279741943,-14.161586810168364,SEN
146,7.742845206031168,7.742845206031168,3.413925787449502,SGP
147,85.85822458522875,104.66734303856953,37.31871911037706,SLE
148,18.134899550354145,18.134899550354145,8.967462170684062,SLV
149,2.567194923133327e+40,2.567194923133327e+40,37.38324488051067,SRB
150,1.383811835673648e+21,1.4127569359275573e+32,42.77352342808439,STP
151,inf,inf,35.84937336891501,SUR
152,517.8514598941393,inf,27.788924364070617,SVK
153,19.1698458600581,19.1698458600581,19.69220318586585,SVN
154,3.6017381430910156,3.649925289580569,12.009281181536032,SWE
155,2.4673322503851897e+41,4.494736579681818e+26,20.359638227098664,SWZ
156,,,-49.00076000667198,SXM
157,inf,inf,32.134190862907964,SYC
158,inf,inf,31.23239174357675,SYR
159,inf,inf,26.1357419170887,TCA
160,313.31398896127547,313.31398896127547,67.09716198523431,TCD
161,36.69420298098331,42.073827552791386,290.70325770922204,TGO
162,18.54630601051759,18.54630601051759,9.6327193386784,THA
163,inf,inf,37.45601618614597,TJK
164,inf,inf,48.13072308827136,TKM
165,1.3544585026100361e+29,3.0849174933940532e+50,28.327085917204958,TTO
166,15.226474708262083,16.20742332984082,10.747411346706336,TUN
167,23.57724206001619,22.962397425137524,21.321980123695834,TUR
168,6.334385782147023,,2.34325010660156,TWN
169,25.556529177449526,25.556529177449526,28.55252467355343,TZA
170,14.86698631347181,,-40.323318224543186,UGA
171,2.2271106129003602e+68,inf,28.24866855486721,UKR
172,23.388820919976936,,92.83814928778028,URY
173,3.0916515894339636,3.107670080597136,8.845223693937184,USA
174,inf,inf,68.52236638735927,UZB
175,472.58814445099995,,22.966187474136653,VCT
176,46.56081486044841,46.56081486044841,21.887770669537783,VEN
177,6.321242789710674e+32,1.1569881732760188e+64,29.148785278993728,VGB
178,8.757926290134787,8.757926290134787,5.663039735693713,VNM
179,4133213222912.5986,4133213222912.5986,11.854162561666147,YEM
180,4.433221076434779,4.538057857937128,-6.895808027947855,ZAF
181,503.6551861305319,894.8163570415458,47.69081749556713,ZMB
182,inf,inf,37.84993470565357,ZWE
